review,sentiment,tokenized_review,lemmatized_review
someone orders two tacos not think may part customer service ask combo ala cart,negative,"['someone', 'orders', 'two', 'tacos', 'not', 'think', 'may', 'part', 'customer', 'service', 'ask', 'combo', 'ala', 'cart']",someone order two taco not think may part customer service ask combo ala cart
quite disappointed although blame needs placed door,negative,"['quite', 'disappointed', 'although', 'blame', 'needs', 'placed', 'door']",quite disappointed although blame need placed door
rave reviews could not wait eat herewhat disappointment,negative,"['rave', 'reviews', 'could', 'not', 'wait', 'eat', 'herewhat', 'disappointment']",rave review could not wait eat herewhat disappointment
del taco pretty nasty avoided possible,negative,"['del', 'taco', 'pretty', 'nasty', 'avoided', 'possible']",del taco pretty nasty avoided possible
not hard make decent hamburger,negative,"['not', 'hard', 'make', 'decent', 'hamburger']",not hard make decent hamburger
hell no go back,negative,"['hell', 'no', 'go', 'back']",hell no go back
gotten much better service pizza place next door services received restaurant,negative,"['gotten', 'much', 'better', 'service', 'pizza', 'place', 'next', 'door', 'services', 'received', 'restaurant']",gotten much better service pizza place next door service received restaurant
not know big deal place not back yaall,negative,"['not', 'know', 'big', 'deal', 'place', 'not', 'back', 'yaall']",not know big deal place not back yaall
immediately said wanted talk manager not want talk guy shots fireball behind bar,negative,"['immediately', 'said', 'wanted', 'talk', 'manager', 'not', 'want', 'talk', 'guy', 'shots', 'fireball', 'behind', 'bar']",immediately said wanted talk manager not want talk guy shot fireball behind bar
ambiance not much better,negative,"['ambiance', 'not', 'much', 'better']",ambiance not much better
unfortunately set us disapppointment entrees,negative,"['unfortunately', 'set', 'us', 'disapppointment', 'entrees']",unfortunately set u disapppointment entree
food not good,negative,"['food', 'not', 'good']",food not good
servers suck wait correction server heimer sucked,negative,"['servers', 'suck', 'wait', 'correction', 'server', 'heimer', 'sucked']",server suck wait correction server heimer sucked
happened next prettyoff putting,negative,"['happened', 'next', 'prettyoff', 'putting']",happened next prettyoff putting
bad know family owned really wanted like place,negative,"['bad', 'know', 'family', 'owned', 'really', 'wanted', 'like', 'place']",bad know family owned really wanted like place
overpriced getting,negative,"['overpriced', 'getting']",overpriced getting
vomited bathroom mid lunch,negative,"['vomited', 'bathroom', 'mid', 'lunch']",vomited bathroom mid lunch
kept looking time soon become 35 minutes yet still no food,negative,"['kept', 'looking', 'time', 'soon', 'become', '35', 'minutes', 'yet', 'still', 'no', 'food']",kept looking time soon become 35 minute yet still no food
places eat no circumstances would ever return tops list,negative,"['places', 'eat', 'no', 'circumstances', 'would', 'ever', 'return', 'tops', 'list']",place eat no circumstance would ever return top list
started tuna sashimi brownish color obviously not fresh,negative,"['started', 'tuna', 'sashimi', 'brownish', 'color', 'obviously', 'not', 'fresh']",started tuna sashimi brownish color obviously not fresh
food average,negative,"['food', 'average']",food average
sure beat nachos movies would expect little bit coming restaurant,negative,"['sure', 'beat', 'nachos', 'movies', 'would', 'expect', 'little', 'bit', 'coming', 'restaurant']",sure beat nacho movie would expect little bit coming restaurant
ha long bay bit flop,negative,"['ha', 'long', 'bay', 'bit', 'flop']",ha long bay bit flop
problem charge 1199 sandwich no bigger subway sub offers better amount vegetables,negative,"['problem', 'charge', '1199', 'sandwich', 'no', 'bigger', 'subway', 'sub', 'offers', 'better', 'amount', 'vegetables']",problem charge 1199 sandwich no bigger subway sub offer better amount vegetable
shrimp unwrapped live 12 mile brushfire literally ice cold,negative,"['shrimp', 'unwrapped', 'live', '12', 'mile', 'brushfire', 'literally', 'ice', 'cold']",shrimp unwrapped live 12 mile brushfire literally ice cold
lacked flavor seemed undercooked dry,negative,"['lacked', 'flavor', 'seemed', 'undercooked', 'dry']",lacked flavor seemed undercooked dry
really impressive place not closed,negative,"['really', 'impressive', 'place', 'not', 'closed']",really impressive place not closed
would avoid place staying mirage,negative,"['would', 'avoid', 'place', 'staying', 'mirage']",would avoid place staying mirage
refried beans came meal dried crusty food bland,negative,"['refried', 'beans', 'came', 'meal', 'dried', 'crusty', 'food', 'bland']",refried bean came meal dried crusty food bland
spend money time place else,negative,"['spend', 'money', 'time', 'place', 'else']",spend money time place else
lady table next us found live green caterpillar salad,negative,"['lady', 'table', 'next', 'us', 'found', 'live', 'green', 'caterpillar', 'salad']",lady table next u found live green caterpillar salad
presentation food awful,negative,"['presentation', 'food', 'awful']",presentation food awful
cannot tell disappointed,negative,"['can', 'not', 'tell', 'disappointed']",can not tell disappointed
think food flavor texture lacking,negative,"['think', 'food', 'flavor', 'texture', 'lacking']",think food flavor texture lacking
appetite instantly gone,negative,"['appetite', 'instantly', 'gone']",appetite instantly gone
overall not impressed would not go back,negative,"['overall', 'not', 'impressed', 'would', 'not', 'go', 'back']",overall not impressed would not go back
whole experience underwhelming think well go ninja sushi next time,negative,"['whole', 'experience', 'underwhelming', 'think', 'well', 'go', 'ninja', 'sushi', 'next', 'time']",whole experience underwhelming think well go ninja sushi next time
not wasted enough life poured salt wound drawing time took bring check,negative,"['not', 'wasted', 'enough', 'life', 'poured', 'salt', 'wound', 'drawing', 'time', 'took', 'bring', 'check']",not wasted enough life poured salt wound drawing time took bring check
